reviews_sql_good_feedback,days_since_created,order_items_item_gross_margin_percentage,order_items_gross_margin,products_brand,products_category,products_department,products_retail_price,distribution_centers_name
Yes,122,0.86277518210392268,12.932999782264233,Hanes,Socks & Hosiery,Women,5.5,Houston TX
Yes,139,0.47857249623924153,4.45551014080435,Hanes,Socks,Men,8.2700004577636719,Houston TX
Yes,132,0.91630189174461463,53.145509721187651,Hanes,Socks,Men,8.2700004577636719,Houston TX
No,177,0.5145509721187651,5.1455097211876506,Hanes,Socks,Men,8.2700004577636719,Houston TX
Yes,174,0.85276038522667608,28.115510941890776,Hanes,Socks,Men,8.2700004577636719,Houston TX
Yes,106,0.73858425640333314,13.715509416011869,Hanes,Socks,Men,8.2700004577636719,Houston TX
No,175,0.938845470505408,60.086110112346113,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,144,0.96941078561152982,124.03610706058831,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,168,0.69278728744354023,8.8261098834642766,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,131,0.35520761499704467,2.1561102840074895,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,44,0.95045709002969769,75.08611011234612,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
No,147,0.90212828898776021,36.076111790812909,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,66,0.836921254681088,20.086110112346113,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,111,0.8434444044938445,21.086110112346113,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,165,0.92842191174451372,50.766110417521894,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,33,0.877690941010816,28.086110112346113,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,179,0.86016827725406109,24.076109883464277,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,109,0.91418790100244818,41.696110722697675,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,37,0.8434444044938445,21.086110112346113,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,58,0.45183613993814303,3.2261099788317082,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,82,0.90681214553205025,38.086110112346113,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,117,0.96006234808516444,94.08611011234612,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,88,0.90897930493828172,39.086110112346113,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,93,0.82209591419755057,18.086110112346113,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
No,122,0.898656395756071,34.706109044230878,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
No,161,0.875749527376067,27.586110112346113,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
No,101,0.92752055763603913,50.086110112346113,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,93,0.913024669163247,41.086110112346113,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
Yes,134,0.976975764685111,166.07611560551018,Fruit of the Loom,Shorts,Men,8.4899997711181641,Savannah GA
